n_electric,n_mechanical,timestamp
5,16,1632774764
8,13,1632763963
5,5,1631168564
1,12,1630486364
1,6,1632649964
7,7,1630881164
5,16,1632275564
1,1,1630311764
1,1,1632383564
1,3,1630933964
6,15,1631564564
5,2,1632658364
4,6,1630716164
7,8,1630890764
7,6,1631446964
1,3,1631701964
0,5,1632215564
2,2,1632335564
1,4,1632608564
5,16,1632804164
7,8,1630896164
1,1,1630171964
10,10,1632458564
10,5,1631428964
10,12,1631250764
10,12,1631239964
3,6,1630955564
7,7,1632684164
0,0,1632408164
3,5,1631143364
2,5,1630584164
1,1,1631208164
1,15,1632000764
10,12,1631241764
0,9,1632831164
3,3,1632087764
1,7,1631027564
3,6,1632059564
1,6,1632595964
4,6,1632327164
10,8,1631670764
1,5,1631546564
1,0,1632750164
2,1,1631538164
3,9,1632547964
3,7,1631476364
3,2,1630359764
0,1,1631113364
0,0,1632730364
1,4,1631519564
1,5,1631098364
9,8,1631313164
1,10,1630566164
5,16,1632797564
1,3,1631037164
1,9,1630572164
0,3,1632598964
1,3,1632604964
1,0,1630305164
3,17,1632289364
0,2,1630182164
1,5,1632295364
6,8,1631077364
8,8,1632376964
1,9,1631465564
1,11,1631786564
10,8,1631677964
3,2,1632664364
2,2,1630690964
2,2,1630936964
6,13,1631771564
0,1,1630317764
2,9,1631485364
6,8,1632162164
0,1,1630218764
5,9,1630243964
1,11,1632592364
12,8,1632372164
2,5,1631040164
0,1,1632673964
14,8,1631915564
4,9,1631295163
0,1,1631174564
3,2,1630360364
3,14,1631598764
1,15,1632010364
7,12,1630605764
4,18,1632034364
3,0,1630924964
10,12,1631235764
2,5,1630155164
0,0,1630694564
2,6,1632316964
0,2,1630181564
3,3,1630840364
9,3,1631430764
5,16,1632284564
4,4,1630382564
0,1,1632131564
0,6,1631301164
5,16,1632278564
5,2,1630423964
1,6,1630665764
2,7,1630233164
9,12,1631761364
6,13,1631849564
2,9,1632551564
1,1,1630942364
8,12,1632201164
1,6,1630726964
4,9,1630828964
2,8,1631293364
3,6,1630143164
4,4,1631710364
1,10,1631604164
3,1,1632620564
1,9,1631980963
2,4,1631459564
1,6,1630157564
4,10,1631821964
3,13,1630524164
2,4,1632319364
7,7,1630882364
0,1,1631116963
0,6,1631301764
0,5,1632068564
6,12,1630620164
1,3,1632321764
3,6,1632309164
9,12,1631231564
2,1,1630932164
1,5,1630792364
2,0,1632727963
0,4,1631094164
10,8,1631664164
5,16,1632270764
4,10,1630445564
6,8,1630859564
10,11,1632453164
5,16,1630531364
5,7,1630909364
0,2,1630203764
5,16,1632777164
0,1,1632731564
11,10,1632441164
4,3,1632661364
4,2,1631694764
0,0,1630698164
3,7,1630796564
0,11,1632835964
5,16,1632286364
1,4,1632609764
0,2,1632399764
6,13,1631845964
3,7,1630800764
2,9,1630657364
0,3,1632404564
1,1,1632071564
1,2,1632393764
3,7,1630798964
10,11,1631252564
2,7,1630737164
4,6,1632160364
2,5,1632754964
2,11,1631787164
1,3,1632606164
9,12,1632180764
1,6,1631105564
4,5,1631144136
0,2,1630271564
5,16,1632286964
9,5,1631414564
9,12,1631746364
5,8,1632696164
1,1,1630259564
2,3,1630365764
2,2,1630933364
4,2,1631695964
7,5,1630867364
1,11,1630565564
4,1,1631393565
3,2,1631539364
1,0,1632739964
2,2,1630934564
0,0,1631530964
12,8,1631909564
13,8,1632361964
0,3,1630186964
2,1,1632639764
8,1,1631896364
4,0,1632726764
0,2,1631616764
13,8,1631943764
6,8,1632691364
4,5,1630252364
10,11,1632444764
6,12,1630634564
1,2,1631119964
1,4,1632610964
2,13,1631273564
0,1,1631090564
4,0,1632726164
4,18,1632031964
2,13,1631272964
2,10,1630963964
3,10,1632573764
4,4,1630429364
5,16,1630546364
6,15,1631571764
0,7,1632330164
1,1,1630416764
9,12,1631745164
9,13,1630851764
0,0,1630306964
10,12,1631244164
2,7,1631461363
5,16,1630558364
3,16,1632807764
2,5,1630151564
1,8,1631464364
3,4,1632256364
5,10,1630248764
5,16,1630541564
2,11,1632205364
1,1,1630939964
7,12,1630636364
5,5,1631161364
3,0,1630399364
0,5,1632305564
8,8,1631661164
2,7,1631797964
1,3,1632482564
2,3,1630353764
5,13,1631842364
7,7,1631060564
7,11,1630643025
1,8,1631296964
2,13,1632049364
7,7,1631059364
2,4,1631137364
3,2,1630841564
9,2,1630686764
2,1,1631624564
1,10,1632834164
0,2,1631700764
0,0,1632247364
5,10,1630468364
1,0,1630166564
5,7,1630819364
7,13,1630625564
1,5,1631101364
4,8,1630135364
4,1,1632631964
1,2,1632148964
2,11,1631986964
1,8,1631478764
6,13,1631343764
10,5,1631224364
6,7,1631952164
0,1,1630213364
4,6,1630245764
3,8,1630999964
4,5,1631957564
5,8,1632706364
7,10,1631973164
1,12,1630491764
0,8,1630959164
0,2,1631701364
1,10,1632584564
1,12,1632825164
2,1,1631192564
1,5,1630787564
7,6,1630875164
0,1,1630322564
1,0,1632740564
0,0,1630696964
1,2,1630227764
10,8,1631671964
1,4,1631020364
2,4,1632644564
4,6,1630717964
0,4,1632208964
12,9,1632348164
1,0,1632675764
1,0,1631528564
7,12,1631332964
8,7,1630888364
1,1,1630341764
5,16,1632798164
6,12,1630619564
6,8,1631065364
2,18,1632017564
5,16,1630529564
5,15,1631584364
6,13,1630987964
3,0,1631386964
5,16,1632789764
1,12,1631467364
5,8,1632697964
2,5,1630911164
1,2,1630261964
2,0,1630411364
0,3,1630187564
9,12,1632177764
6,15,1631572364
